40,-3108
151,-11722
62,-4771
112,-8647
103,-7989
91,-6975
231,-17984
23,-1671
117,-8881
123,-6130
247,-19192
222,-16793
222,-16849
10,-735
6,-445
22,-1359
89,-6374
105,-8123
165,-12786
241,36987
184,-13678
253,-19677
6,-11
6,-423
21,-1564
255,-19134
25,-1942
199,-14954
102,449501
59,4570044
171,-12881
141,-8653
148,12825840
249,2432065
252,2329078

155,-12078
81,-6262
61,-4693
90,-6931
122,-9471
40,-2997
124,-9638
179,-13839
207,-15901
190,-11356
96,-7414
223,-16871
158,-11857
37,-2841
145,-11287
203,-15477
214,-16124
12,-869
143,-11070
69,50403
247,-18592
136,-10551
151,-11321
80,-6195
218,-16930
28,-1428
34,-2644
59,-4034
173,443963
196,4559358
92,-6719
57,-2101
201,12821706
125,2441737
134,2338282
