176,9525
39,8202
82,2945
26,2238
255,11931
165,12455
237,14901
110,10257
39,2684
105,4944
121,41168985
84,3031
7,251
240,16055
151,5510
103,13334
175,5425
113,17430
47,2559
71,72287
43,1473
4,223
81,2911
69,2542
67,2402
239,8127
100,3400
40,7557
67,65545
246,98015
223,75428
193,8358

11,3915
58,8848
179,6243
111,5128
204,10197
113,10687
207,13881
111,10291
14,1834
145,6304
45,41166401
29,1161
155,5283
199,14661
233,8298
133,14354
78,2127
159,18994
82,3749
142,74701
30,1031
224,7703
31,1211
224,7812
145,5054
85,2891
112,3808
6,6401
173,69149
124,93867
60,69886
8,2068

